"","MUNICIPIO","Valor","Nota","escala"
"1","ANGRA DOS REIS",10831704.7,502.32,-1.13355127987872
"2","APERIBE",841347,537.86,1.45084383314747
"3","ARARUAMA",11196225.58,511.59,-0.459456099863171
"4","AREAL",1094459.25,525.71,0.567321024389218
"5","ARMACAO DOS BUZIOS",3701318.88,544.4,1.92641907341733
"6","ARRAIAL DO CABO",2660471.7,519.11,0.0873827085205378
"7","BARRA DO PIRAI",4911627.68,515.56,-0.170765931075499
"8","BARRA MANSA",12707332,535.04,1.24577928000357
"9","BELFORD ROXO",23784729.12,502.06,-1.15245794080688
"10","BOM JARDIM",1457269.81,522.61,0.341895451784231
"11","BOM JESUS DO ITABAPOANA",2360745.49,516.75,-0.0842315983658391
"12","CABO FRIO",16694786.29,521.54,0.264087270272184
"13","CACHOEIRAS DE MACACU",4269912.18,512.09,-0.423097136539782
"14","CAMBUCI",710150.34,499.45,-1.34225172935495
"15","CAMPOS DOS GOYTACAZES",29335154.48,516.98,-0.0675064752370808
"16","CANTAGALO",1223362.98,530.11,0.887279901635002
"17","CARAPEBUS",1267504.79,511.98,-0.431096108470928
"18","CARDOSO MOREIRA",1300288.97,507.72,-0.740874475986165
"19","CARMO",1120461.5,531.99,1.02398960373093
"20","CASIMIRO DE ABREU",3989652.91,518.34,0.0313899050025267
"21","COMENDADOR LEVY GASPARIAN",909652.42,521.29,0.245907788610492
"22","CONCEICAO DE MACABU",1520858.14,495.22,-1.64984855907078
"23","CORDEIRO",1266790.06,516.76,-0.083504419099372
"24","DUAS BARRAS",993771.42,502.29,-1.13573281767812
"25","DUQUE DE CAXIAS",41680587.21,507.98,-0.721967815058006
"26","ENGENHEIRO PAULO DE FRONTIN",978950.39,510.69,-0.524902233845262
"27","GUAPIMIRIM",4704537.27,510.12,-0.56635145203392
"28","IGUABA GRANDE",2576346.87,520.2,0.166645248565519
"29","ITABORAI",17088196.01,504.54,-0.972117482722893
"30","ITAGUAI",11233804.17,505.76,-0.883401612213836
"31","ITALVA",843831.02,545.31,1.99259238666589
"32","ITAOCARA",1023423.13,542.44,1.78389193718967
"33","ITAPERUNA",5884478.23,535.7,1.29377311159045
"34","ITATIAIA",2867757.4,510.39,-0.546717611839294
"35","JAPERI",7613074.25,490.32,-2.00616639963996
"36","LAJE DO MURIAE",444021.37,530.15,0.89018861870087
"37","MACAE",18525560.28,530.51,0.916367072293708
"38","MACUCO",508234.54,507.94,-0.724876532123878
"39","MAGE",20947749.28,505.61,-0.89430930121085
"40","MANGARATIBA",4258057.55,510.63,-0.529265309444068
"41","MARICA",11537233.23,527.46,0.694577396021064
"42","MENDES",1413689.04,523.76,0.425521067428014
"43","MESQUITA",7474489.36,502.99,-1.08483026902539
"44","MIGUEL PEREIRA",1965910.44,504.19,-0.997568757049264
"45","MIRACEMA",2170050.16,528.51,0.770931219000169
"46","NATIVIDADE",900711.36,512.79,-0.372194587887049
"47","NILOPOLIS",6318651.18,520.75,0.206640108221239
"48","NITEROI",17744982.5,534.25,1.18833211795263
"49","NOVA FRIBURGO",10467894.1,549.48,2.29582614078293
"50","NOVA IGUACU",36065209.29,503.61,-1.03974515450439
"51","PARACAMBI",2548878.21,540.64,1.65299966922548
"52","PARAIBA DO SUL",3607472.02,506.28,-0.845588290357517
"53","PATY DO ALFERES",2286909.64,507.58,-0.751054985716716
"54","PETROPOLIS",21748678.26,514.5,-0.24784693332107
"55","PINHEIRAL",2064581.64,539.79,1.59118943157573
"56","PIRAI",2600933.79,513.42,-0.326382294099584
"57","PORCIUNCULA",1269381.97,505.08,-0.93284980233364
"58","PORTO REAL",1946947.13,514.56,-0.243483857722268
"59","QUATIS",1338899.25,525.27,0.535325136664635
"60","QUEIMADOS",7748314.06,491.2,-1.9421746241908
"61","QUISSAMA",2300398.03,533.24,1.11488701203939
"62","RESENDE",8090302.73,521.66,0.272813421469797
"63","RIO BONITO",4625182.62,514.77,-0.228213093126444
"64","RIO CLARO",1407792.17,498.57,-1.40624350480411
"65","RIO DAS FLORES",947241.2,529.16,0.818197871320568
"66","RIO DAS OSTRAS",9758311.99,533.37,1.12434034250347
"67","RIO DE JANEIRO",398633047.46,528.37,0.760750709269622
"68","SANTA MARIA MADALENA",859219.95,533.66,1.14542854123103
"69","SANTO ANTONIO DE PADUA",3083689.94,528.14,0.744025586140864
"70","SAO FIDELIS",2268609.72,527.66,0.709120981350413
"71","SAO FRANCISCO DE ITABAPOANA",4927558.83,510.92,-0.508177110716504
"72","SAO GONCALO",24629274.9,518.6,0.0502965659306861
"73","SAO JOAO DA BARRA",4308029.66,514.74,-0.230394630925845
"74","SAO JOAO DE MERITI",14689193.3,510.4,-0.545990432572827
"75","SAO JOSE DE UBA",489057.37,506.76,-0.810683685567067
"76","SAO JOSE DO VALE DO RIO PRETO",1929780.76,534.78,1.22687261907541
"77","SAO PEDRO DA ALDEIA",6961153.47,525.59,0.558594873191605
"78","SAO SEBASTIAO DO ALTO",617861.87,512.03,-0.427460212138593
"79","SAPUCAIA",1354520.27,528.5,0.770204039733702
"80","SAQUAREMA",7915813.71,511.8,-0.444185335267347
"81","SEROPEDICA",7130573.19,503.28,-1.06374207029783
"82","SILVA JARDIM",2462993.97,489.65,-2.05488741049329
"83","SUMIDOURO",1166808.21,498.54,-1.40842504260351
"84","TANGUA",3005402.57,514.18,-0.27111666984804
"85","TERESOPOLIS",12222681.26,520.9,0.217547797218253
"86","TRES RIOS",5545539.89,502.54,-1.11755333601643
"87","VALENCA",5351257.09,541.84,1.74026118120161
"88","VARRE-SAI",888373.62,513.16,-0.345288955027744
"89","VASSOURAS",2162965.21,510.6,-0.53144684724347
"90","VOLTA REDONDA",20072524.87,541.17,1.69154017034827
